"Number Of Flights",model,name,dest
1,A320-232,"JetBlue Airways",ABQ
1,EMB-145LR,"ExpressJet Airlines Inc.",ALB
5,717-200,"AirTran Airways Corporation",ATL
7,717-200,"Delta Air Lines Inc.",ATL
1,737-732,"Delta Air Lines Inc.",ATL
3,737-832,"Delta Air Lines Inc.",ATL
1,757-231,"Delta Air Lines Inc.",ATL
1,767-3P6,"Delta Air Lines Inc.",ATL
1,A320-212,"Delta Air Lines Inc.",ATL
13,MD-88,"Delta Air Lines Inc.",ATL
3,NULL,"Envoy Air",ATL
1,EMB-145LR,"ExpressJet Airlines Inc.",ATL
2,EMB-145XR,"ExpressJet Airlines Inc.",ATL
1,737-7BD,"Southwest Airlines Co.",ATL
1,NULL,"American Airlines Inc.",AUS
1,737-832,"Delta Air Lines Inc.",AUS
2,A320-232,"JetBlue Airways",AUS
1,737-7H4,"Southwest Airlines Co.",AUS
0,NULL,"United Air Lines Inc.",AUS
1,EMB-145XR,"ExpressJet Airlines Inc.",AVL
2,CL-600-2C10,"ExpressJet Airlines Inc.",BGR
2,CL-600-2D24,"Endeavor Air Inc.",BNA
4,NULL,"Envoy Air",BNA
1,CL-600-2D24,"ExpressJet Airlines Inc.",BNA
2,EMB-145LR,"ExpressJet Airlines Inc.",BNA
1,EMB-145XR,"ExpressJet Airlines Inc.",BNA
1,737-7BX,"Southwest Airlines Co.",BNA
3,737-7H4,"Southwest Airlines Co.",BNA
3,NULL,"American Airlines Inc.",BOS
1,MD-88,"Delta Air Lines Inc.",BOS
3,CL-600-2D24,"Endeavor Air Inc.",BOS
10,"ERJ 190-100 IGW","JetBlue Airways",BOS
3,737-824,"United Air Lines Inc.",BOS
1,737-924ER,"United Air Lines Inc.",BOS
2,A319-131,"United Air Lines Inc.",BOS
1,A320-232,"United Air Lines Inc.",BOS
2,A320-232,"JetBlue Airways",BQN
1,737-824,"United Air Lines Inc.",BQN
2,CL-600-2C10,"ExpressJet Airlines Inc.",BTV
1,EMB-145LR,"ExpressJet Airlines Inc.",BTV
4,"ERJ 190-100 IGW","JetBlue Airways",BTV
1,CL-600-2D24,"Endeavor Air Inc.",BUF
1,CL-600-2C10,"ExpressJet Airlines Inc.",BUF
2,EMB-145LR,"ExpressJet Airlines Inc.",BUF
1,A320-232,"JetBlue Airways",BUF
4,"ERJ 190-100 IGW","JetBlue Airways",BUF
1,A320-232,"JetBlue Airways",BUR
1,CL-600-2B19,"Endeavor Air Inc.",BWI
1,NULL,"Envoy Air",BWI
2,EMB-145LR,"ExpressJet Airlines Inc.",BWI
1,CL-600-2B19,"Endeavor Air Inc.",CAE
2,717-200,"AirTran Airways Corporation",CAK
1,CL-600-2B19,"Endeavor Air Inc.",CHS
2,CL-600-2C10,"ExpressJet Airlines Inc.",CHS
3,EMB-145LR,"ExpressJet Airlines Inc.",CHS
2,"ERJ 190-100 IGW","JetBlue Airways",CHS
1,CL-600-2B19,"Endeavor Air Inc.",CLE
4,NULL,"Envoy Air",CLE
1,CL-600-2C10,"ExpressJet Airlines Inc.",CLE
1,EMB-145XR,"ExpressJet Airlines Inc.",CLE
1,737-724,"United Air Lines Inc.",CLE
1,737-824,"United Air Lines Inc.",CLE
1,CL-600-2D24,"Endeavor Air Inc.",CLT
3,NULL,"Envoy Air",CLT
1,CL-600-2C10,"ExpressJet Airlines Inc.",CLT
2,EMB-145LR,"ExpressJet Airlines Inc.",CLT
2,EMB-145XR,"ExpressJet Airlines Inc.",CLT
2,"ERJ 190-100 IGW","JetBlue Airways",CLT
1,CL-600-2D24,"Mesa Airlines Inc.",CLT
0,NULL,"US Airways Inc.",CLT
3,A319-112,"US Airways Inc.",CLT
2,A320-214,"US Airways Inc.",CLT
2,A320-232,"US Airways Inc.",CLT
10,A321-211,"US Airways Inc.",CLT
7,A321-231,"US Airways Inc.",CLT
5,NULL,"Envoy Air",CMH
1,EMB-145LR,"ExpressJet Airlines Inc.",CMH
2,CL-600-2D24,"Endeavor Air Inc.",CVG
1,NULL,"Envoy Air",CVG
2,EMB-145LR,"ExpressJet Airlines Inc.",CVG
2,EMB-145LR,"ExpressJet Airlines Inc.",DAY
2,CL-600-2D24,"Endeavor Air Inc.",DCA
5,NULL,"Envoy Air",DCA
2,EMB-145LR,"ExpressJet Airlines Inc.",DCA
2,"ERJ 190-100 IGW","US Airways Inc.",DCA
1,737-832,"Delta Air Lines Inc.",DEN
2,A320-211,"Delta Air Lines Inc.",DEN
